id,innings,match_no,over,Ball No,batter,bowler,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team,,,outcome,over,Ball No,comment,batter,bowler,score,ballnumber,inningno,over
335983,1,1,0,1,Devon Conway,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,0,1,"Mohammed Shami to Devon Conway, no run,",Devon Conway,Mohammed Shami,0,1,1,0.1
335983,1,1,0,2,Devon Conway,Mohammed Shami,legbyes,0,1,1,1,0,,NA,,,,,1lb,0,2,"Mohammed Shami to Devon Conway, 1 leg bye,",Devon Conway,Mohammed Shami,1,2,1,0.2
335983,1,1,0,3,Ruturaj Gaikwad,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,0,3,"Mohammed Shami to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Mohammed Shami,0,3,1,0.3
335983,1,1,0,4,Ruturaj Gaikwad,Mohammed Shami,NA,1,0,1,1,0,,NA,,,,,1,0,4,"Mohammed Shami to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Mohammed Shami,1,4,1,0.4
335983,1,1,0,5,Devon Conway,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,0,5,"Mohammed Shami to Devon Conway, no run,",Devon Conway,Mohammed Shami,0,5,1,0.5
335983,1,1,0,6,Devon Conway,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,0,6,"Mohammed Shami to Devon Conway, no run,",Devon Conway,Mohammed Shami,0,6,1,0.6
335983,1,1,1,1,Ruturaj Gaikwad,Hardik Pandya,NA,4,0,4,0,0,,NA,,,,,4,1,1,"Hardik Pandya to Ruturaj Gaikwad, Four,",Ruturaj Gaikwad,Hardik Pandya,4,7,1,1.1
335983,1,1,1,2,Ruturaj Gaikwad,Hardik Pandya,NA,0,0,0,1,0,,NA,,,,,0,1,2,"Hardik Pandya to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Hardik Pandya,0,8,1,1.2
335983,1,1,1,3,Ruturaj Gaikwad,Hardik Pandya,NA,4,0,4,0,0,,NA,,,,,4,1,3,"Hardik Pandya to Ruturaj Gaikwad, Four,",Ruturaj Gaikwad,Hardik Pandya,4,9,1,1.3
335983,1,1,1,4,Ruturaj Gaikwad,Hardik Pandya,NA,1,0,1,1,0,,NA,,,,,1,1,4,"Hardik Pandya to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Hardik Pandya,1,10,1,1.4
335983,1,1,1,5,Devon Conway,Hardik Pandya,NA,1,0,1,1,0,,NA,,,,,1,1,5,"Hardik Pandya to Devon Conway, 1 run,",Devon Conway,Hardik Pandya,1,11,1,1.5
335983,1,1,1,6,Ruturaj Gaikwad,Hardik Pandya,NA,1,0,1,1,0,,NA,,,,,1,1,6,"Hardik Pandya to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Hardik Pandya,1,12,1,1.6
335983,1,1,2,1,Ruturaj Gaikwad,Mohammed Shami,NA,1,0,1,1,0,,NA,,,,,1,2,1,"Mohammed Shami to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Mohammed Shami,1,13,1,2.1
335983,1,1,2,2,Devon Conway,Mohammed Shami,NA,0,0,0,1,1,,bowled,,,,,w,2,2,"Mohammed Shami to Devon Conway, no run,                           Wicket - b M Shami batsmen out 1(6)",Devon Conway,Mohammed Shami,0,14,1,2.2
335983,1,1,2,3,Moeen Ali,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,2,3,"Mohammed Shami to Moeen Ali, no run,",Moeen Ali,Mohammed Shami,0,15,1,2.3
335983,1,1,2,4,Moeen Ali,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,2,4,"Mohammed Shami to Moeen Ali, no run,",Moeen Ali,Mohammed Shami,0,16,1,2.4
335983,1,1,2,5,Moeen Ali,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,2,5,"Mohammed Shami to Moeen Ali, no run,",Moeen Ali,Mohammed Shami,0,17,1,2.5
335983,1,1,2,6,Moeen Ali,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,2,6,"Mohammed Shami to Moeen Ali, no run,",Moeen Ali,Mohammed Shami,0,18,1,2.6
335983,1,1,3,1,Ruturaj Gaikwad,Josh Little,NA,6,0,6,0,0,,NA,,,,,6,3,1,"Josh Little to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Josh Little,6,19,1,3.1
335983,1,1,3,2,Ruturaj Gaikwad,Josh Little,NA,4,0,4,0,0,,NA,,,,,4,3,2,"Josh Little to Ruturaj Gaikwad, Four,",Ruturaj Gaikwad,Josh Little,4,20,1,3.2
335983,1,1,3,3,Ruturaj Gaikwad,Josh Little,NA,1,0,1,1,0,,NA,,,,,1,3,3,"Josh Little to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Josh Little,1,21,1,3.3
